Style #	Factory	Cust Del	Description	Fabric/ Trim	Type	Units	Pack	Price	Rate	LC	Extra Cost	Total Cost	Actual Selling Price	Margin Achieved	Cost	Revenue	Profit	Profit Per Pack	1	2
TP1580	PY	01-Feb-21	V criss cross detail on cups 	extended T-shirt 	Lace & mesh 	1680	2	13,95	50,00	 R112,50 		 R112,50 	133,10	15,48%	 R189 000,00 	 R223 608,00 	 R34 608,00 	 R20,60 	2,25	1,13
TP159	PY	01-Feb-21	V criss cross brazilian 	brazilian	Lace & mesh 	2500	3	6,63	50,00	 R80,25 		 R80,25 	93,50	14,17%	 R200 625,00 	 R233 750,00 	 R33 125,00 	 R13,25 	1,07	0,54
								0,00	0,00										0,00	0,00
TP160	MP	01-Mar-20	Rust & teal balconette longline 	Balconette T 	Lace	2500	2	13,14	50,00	 R106,00 		 R106,00 	129,50	18,15%	 R265 000,00 	 R323 750,00 	 R58 750,00 	 R23,50 	2,12	1,06
TP161	MP	01-Mar-20	Rust and teal thatch boxer 	Low rise 	Lace 	2500	3	6,57	50,00	 R79,50 		 R79,50 	96,50	17,62%	 R198 750,00 	 R241 250,00 	 R42 500,00 	 R17,00 	1,06	0,53
								0,00	0,00										0,00	0,00
TP168	MLF	26 April 20 	Heart mesh, ribbed MF, lace 	push up cups 	Lace & mesh 	2000	2	13,02	50,00	 R105,00 		 R105,00 	129,50	18,92%	 R210 000,00 	 R259 000,00 	 R49 000,00 	 R24,50 	2,10	1,05
TP1680	MLF	26 April 20 	Heart mesh, ribbed MF, lace 	extended T-shirt 	Lace & mesh 	1880	2	13,95	50,00	 R112,50 		 R112,50 	132,90	15,35%	 R211 500,00 	 R249 852,00 	 R38 352,00 	 R20,40 	2,25	1,13
TP169	MLF	26 April 20 	Heart mesh, ribbed MF, lace 	brazilian	Lace & mesh 	2000	3	6,32	50,00	 R76,50 		 R76,50 	96,00	20,31%	 R153 000,00 	 R192 000,00 	 R39 000,00 	 R19,50 	1,02	0,51
	MLF	27 April 20 	Heart mesh, ribbed MF, lace 	brazilian	Lace & mesh 	2000	3	6,20	50,00	 R75,00 		 R75,00 	95,50	21,47%	 R150 000,00 	 R191 000,00 	 R41 000,00 	 R20,50 	1,00	0,50
								0,00	0,00										0,00	0,00
TP170	PY	30-Aug-21	Coral & charcoal - balconette	balconette	Lace & mesh 	2500	2	12,52	47,00	 R94,94 		 R94,94 	129,00	26,40%	 R237 350,00 	 R322 500,00 	 R85 150,00 	 R34,06 	2,02	1,01
TP171	PY	30-Aug-21	soft cup 	soft cup bra	Lace & mesh 	1500	2	12,28	47,00	 R93,06 		 R93,06 	122,50	24,03%	 R139 590,00 	 R183 750,00 	 R44 160,00 	 R29,44 	1,98	0,99
TP172	PY	30-Aug-21	Boxer	low rise boxer	Lace & mesh 	2500	3	6,39	47,00	 R72,62 		 R72,62 	97,25	25,33%	 R181 537,50 	 R243 125,00 	 R61 587,50 	 R24,64 	1,03	0,52
TP181H	PY		thong 	Hipster thong 	Lace & mesh 	2100	3	6,57	47,00	 R74,73 		 R74,73 	93,00	19,65%	 R156 933,00 	 R195 300,00 	 R38 367,00 	 R18,27 	1,06	0,53
								0,00	0,00										0,00	0,00
TP179	SD	29-Nov-21	Ink & silver 	Long line Tshirt bra	Diamond mesh 	2600	2	14,01	47,60	 R107,58 		 R107,58 	134,60	20,08%	 R279 697,60 	 R349 960,00 	 R70 262,40 	 R27,02 	2,26	1,13
TP180	SD	29-Nov-21	Ink & silver & thatch 	Thong - hipster	Diamond mesh 	2600	3	6,51	47,60	 R74,97 		 R74,97 	98,60	23,97%	 R194 922,00 	 R256 360,00 	 R61 438,00 	 R23,63 	1,05	0,53
								0,00											0,00	0,00
TP159	PY	15-Sept-21	V criss cross brazilian 	brazilian	Lace & mesh 	1500	3	7,32	47,00	 R83,19 		 R83,19 	113,00	26,38%	 R124 785,00 	 R169 500,00 	 R44 715,00 	 R29,81 	1,18	0,59
	RDY	15-Sept-21	V criss cross brazilian 	brazilian	Lace & mesh 	2800	3	6,94	47,00	 R78,96 		 R78,96 	89,50	11,78%	 R221 088,00 	 R250 600,00 	 R29 512,00 	 R10,54 	1,12	0,56
								0,00											0,00	0,00
TP182	SD	07-Feb-22	Longline - burgendy/mauve	Push up long line TR615 	 Two tone & mesh 	2500	2	15,50	47,00	 R117,50 		 R117,50 	148,00	20,61%	 R293 750,00 	 R370 000,00 	 R76 250,00 	 R30,50 	2,50	1,25
TP183	SD	07-Feb-22	Hispter Bikini -burgendy/mauve/blue	Hipster	 Two tone & mesh 	2500	3	7,07	47,00	 R80,37 		 R80,37 	102,00	21,21%	 R200 925,00 	 R255 000,00 	 R54 075,00 	 R21,63 	1,14	0,57
TP184	SD	16th Feb 22	Boyleg with criss cross	Ultra low boxer	 Two tone & mesh 	2000	3	7,32	47,00	 R83,19 		 R83,19 	102,60	18,92%	 R166 380,00 	 R205 200,00 	 R38 820,00 	 R19,41 	1,18	0,59
																				
TP185	MLF	28-Feb-22	T-shirt bra - floral lace 	T-shirt 	Polyester, lace, trim	2500	2	12,90	47,00	 R97,76 		 R97,76 	134,00	27,04%	 R244 400,00 	 R335 000,00 	 R90 600,00 	 R36,24 	2,08	1,04
TP186	MLF	28-Feb-22		Hipster bikini 	Polyester, lace, trim	2500	3	6,45	47,00	 R73,32 		 R73,32 	98,50	25,56%	 R183 300,00 	 R246 250,00 	 R62 950,00 	 R25,18 	1,04	0,52
																				
THB01	SD	28-Feb-22	Seafoam & Slate bralette	Bralette soft cup	Lace	2300	2	12,15	47,00	 R92,12 		 R92,12 	117,00	21,26%	 R211 876,00 	 R269 100,00 	 R57 224,00 	 R24,88 	1,96	0,98
THB02	SD	28-Feb-22	Hipster boyleg	Ultra low fit	Lace	2300	3	6,94	47,00	 R78,96 		 R78,96 	101,60	22,28%	 R181 608,00 	 R233 680,00 	 R52 072,00 	 R22,64 	1,12	0,56
																				
																				
																				
TP187	RDY	05-Sept-22	Red & ink non push up Multiway	silicone multiway 	Lace & MF	2800	2	13,80	3,87	 R106,84 		 R106,84 	138,00	23%	 R299 150,88 	 R386 400,00 	 R87 249,12 	 R31,16 	2,23	1,11
TP188LR	RDY	05-Sept-22	Red & ink  & Turquoise Low rise bikini 	Bikini 	V bikini	3100	3	7,40	3,87	 R85,94 		 R85,94 	106,00	19%	 R266 402,22 	 R328 600,00 	 R62 197,78 	 R20,06 	1,19	0,60
		#REF!				3100	3	7,60	3,87	 R88,26 		 R88,26 	107,50	18%	 R273 602,28 	 R333 250,00 	 R59 647,72 	 R19,24 	1,23	0,61
																				
THB04	MLF	15-Aug-22	Blue & white spot Triangle cups 	Printed 	Cotton Lycra 	2600	2	12,55	3,87	 R97,16 		 R97,16 	123,60	21%	 R252 621,46 	 R321 360,00 	 R68 738,54 	 R26,44 	2,02	1,01
THB05HR	MLF	15-Aug-22	Hi leg bikini high rise 	Printed 	Cotton Lycra 	2600	3	6,65	3,87	 R77,23 		 R77,23 	94,80	19%	 R200 788,77 	 R246 480,00 	 R45 691,23 	 R17,57 	1,07	0,54
																				
THB06	JH	19-Sept-22	Pink & Grey Ribbed cross over 	Criss cross rib	Ribbed Cotton, nylon Elastic 	2600	2	11,20	3,87	 R86,71 		 R86,71 	124,00	30%	 R225 447,04 	 R322 400,00 	 R96 952,96 	 R37,29 	1,81	0,90
THB07LR	JH	19-Sept-22	Pink & Grey Ribbed cross over - thong	Low rise thong 	Ribbed Cotton, poly Elastic 	2600	3	5,50	3,87	 R63,87 		 R63,87 	95,00	33%	 R166 065,90 	 R247 000,00 	 R80 934,10 	 R31,13 	0,89	0,44
																				
THB100	MLF	07-Mar-23	soft cup all over lace extended size U/W	3pk All over lace	SOFT CUP UNDERWIRE	2800	2	11,80	3,87	 R91,36 		 R91,36 	117,00	22%	 R255 795,68 	 R327 600,00 	 R71 804,32 	 R25,64 	1,90	0,95
THB11LR	MLF	07-Mar-23	Hipster lace boxer with criss cross	3pk All over lace	HIPSTER	2800	3	6,80	3,87	 R78,97 		 R78,97 	99,00	20%	 R221 111,52 	 R277 200,00 	 R56 088,48 	 R20,03 	1,10	0,55
		#REF!				2800	3	7,00	3,87	 R81,29 		 R81,29 	101,00	20%	 R227 614,80 	 R282 800,00 	 R55 185,20 	 R19,71 	1,13	0,56
																				
TP1930	JY	06-Mar-23	Dobby mesh & lace & straps - Wine & lilac	Dobby mesh & lace 	Ext Balconette	2800	2	14,70	3,87	 R113,81 		 R113,81 	141,25	19%	 R318 660,72 	 R395 500,00 	 R76 839,28 	 R27,44 	2,37	1,19
TP194LR	JY	06-Mar-23	Dobby mesh & lace & straps - Wine & lilac	Dobby mesh & lace 	low rise tanga brazilian 	2800	3	6,80	3,87	 R78,97 		 R78,97 	106,00	26%	 R221 111,52 	 R296 800,00 	 R75 688,48 	 R27,03 	1,10	0,55
																				
TP195	JY	01-Feb-23	Blue, Charcoal soft cup bra - velour	2pk soft cup	Peep star charm - mesh & lace	2800	2	12,60	3,87	 R97,55 		 R97,55 	123,50	21%	 R273 137,76 	 R345 800,00 	 R72 662,24 	 R25,95 	2,03	1,02
TP196	JY	01-Feb-23	Blue, charcoal & purple hipster - Velour	3pk hip hugger	Peep star charm - mesh & lace	2800	3	6,90	3,87	 R80,13 		 R80,13 	102,20	22%	 R224 363,16 	 R286 160,00 	 R61 796,84 	 R22,07 	1,11	0,56
																				
THB12	MLF	15-May-23	navy & burgendy lace T-angle with cream elastics	Elastic 	padded T-angle cups 	2900	2	11,65	3,87	 R90,19 		 R90,19 	120,50	25%	 R261 563,47 	 R349 450,00 	 R87 886,53 	 R30,31 	1,88	0,94
